City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
245,Vila Franca Do Campo,PT,2020-12-31 18:40:46,37.72,-25.43,59.0,72,40,12.75
246,Santa Isabel Do Rio Negro,BR,2020-12-31 18:42:23,-0.41,-65.02,92.73,47,40,5.14
247,Sao Joao Da Barra,BR,2020-12-31 18:40:38,-21.64,-41.05,87.8,48,0,23.04
248,Alice Springs,AU,2020-12-31 18:41:21,-23.7,133.88,66.2,48,0,6.93
249,Northam,GB,2020-12-31 18:47:47,51.03,-4.22,36.0,92,66,3.51
250,Kaihua,CN,2020-12-31 18:47:47,23.37,104.28,40.73,83,92,5.88
251,Port Elizabeth,ZA,2020-12-31 18:41:23,-33.92,25.57,68.0,77,20,12.75
252,Atambua,ID,2020-12-31 18:47:47,-9.11,124.89,74.86,87,100,1.25
253,Chippewa Falls,US,2020-12-31 18:43:18,44.94,-91.39,21.0,79,90,4.7
254,Ca Mau,VN,2020-12-31 18:47:48,9.18,105.15,73.29,83,93,5.14
255,Tombouctou,ML,2020-12-31 18:42:21,20.0,-3.0,78.35,24,0,5.59
256,Cambuquira,BR,2020-12-31 18:47:49,-21.85,-45.3,74.55,84,100,4.83
257,Gravdal,NO,2020-12-31 18:40:28,68.12,13.5,35.2,82,0,8.81
258,Mashhad,IR,2020-12-31 18:47:50,36.3,59.61,28.4,68,0,0.78
259,Bardiyah,LY,2020-12-31 18:47:50,31.76,25.09,60.67,47,0,3.11
260,Kalianget,ID,2020-12-31 18:47:50,-7.05,113.93,78.48,81,93,5.86
261,Kalamare,BW,2020-12-31 18:47:50,-22.93,26.57,73.02,72,4,15.39
262,Sicamous,CA,2020-12-31 18:47:50,50.83,-118.99,33.8,80,46,1.12
263,Calama,CL,2020-12-31 18:47:51,-22.47,-68.93,75.2,33,0,26.4
264,Shelburne,CA,2020-12-31 18:41:51,44.08,-80.2,34.0,91,100,9.37
265,Harper,LR,2020-12-31 18:42:52,4.38,-7.72,80.11,80,22,5.66
266,Beringovskiy,RU,2020-12-31 18:47:51,63.05,179.32,3.25,92,51,17.67
267,Kauhajoki,FI,2020-12-31 18:47:52,62.43,22.18,33.01,98,90,1.12
268,Cristalina,BR,2020-12-31 18:45:26,-16.77,-47.61,78.87,64,69,0.29
269,Proddatur,IN,2020-12-31 18:47:52,14.73,78.55,68.67,89,22,4.97
270,Port Alberni,CA,2020-12-31 18:45:14,49.24,-124.8,44.6,93,100,4.7
271,Airai,TL,2020-12-31 18:41:09,-8.93,125.41,61.68,100,99,0.67
272,Hanyang,CN,2020-12-31 18:47:53,32.14,105.51,34.0,85,2,0.72
273,Hantsport,CA,2020-12-31 18:47:53,45.07,-64.17,41.0,80,100,11.41
274,Sindou,BF,2020-12-31 18:47:53,10.67,-5.17,79.93,17,0,2.42
275,Batagay-Alyta,RU,2020-12-31 18:47:54,67.8,130.41,-19.97,84,0,2.93
276,Oyem,GA,2020-12-31 18:47:54,1.6,11.58,72.59,82,85,3.31
277,Tahoua,NE,2020-12-31 18:42:25,14.89,5.27,82.4,15,0,4.9
278,Erenhot,CN,2020-12-31 18:47:54,43.65,111.98,-3.71,87,3,5.37
279,Carlagan,PH,2020-12-31 18:47:55,14.97,122.05,76.23,81,100,26.93
280,Sompeta,IN,2020-12-31 18:47:55,18.93,84.6,68.22,72,0,4.34
281,Coelho Neto,BR,2020-12-31 18:47:55,-4.26,-43.01,85.8,60,100,3.74
282,Presidencia Roque Saenz Pena,AR,2020-12-31 18:47:56,-26.79,-60.44,90.0,29,0,4.0
283,Goderich,CA,2020-12-31 18:41:01,43.75,-81.72,32.0,94,100,10.29
284,San Cristobal,VE,2020-12-31 18:40:43,7.77,-72.22,78.8,69,40,6.93
285,Sinjar,IQ,2020-12-31 18:47:56,36.32,41.88,48.13,53,0,0.72
286,Nuuk,GL,2020-12-31 18:41:09,64.18,-51.72,28.0,92,100,17.22
287,Japura,ID,2020-12-31 18:47:57,-0.32,102.35,74.08,91,100,1.54
288,Nouadhibou,MR,2020-12-31 18:41:40,20.93,-17.03,67.87,65,9,21.18
289,Jalu,LY,2020-12-31 18:40:40,29.03,21.55,58.57,34,0,7.85
290,Neuquen,AR,2020-12-31 18:47:57,-38.95,-68.06,84.2,39,0,10.29
291,Hay River,CA,2020-12-31 18:37:32,60.82,-115.8,3.2,84,100,1.12
292,Borgarnes,IS,2020-12-31 18:47:58,64.54,-21.92,30.2,92,75,1.12
293,Kindu,CD,2020-12-31 18:47:58,-2.95,25.95,72.32,94,100,1.5
294,Sioux Lookout,CA,2020-12-31 18:45:45,50.1,-91.92,10.4,92,90,11.41
295,Fountain,US,2020-12-31 18:47:58,38.68,-104.7,48.2,19,1,4.7
296,Ancud,CL,2020-12-31 18:41:38,-41.87,-73.82,68.0,67,75,5.82
297,Parintins,BR,2020-12-31 18:47:59,-2.63,-56.74,85.77,65,100,5.14
298,Shimoda,JP,2020-12-31 18:40:32,34.67,138.95,30.99,68,0,1.01
299,Dakar,SN,2020-12-31 18:48:00,14.69,-17.44,75.2,73,0,13.87
300,Aksarka,RU,2020-12-31 18:48:00,66.56,67.8,-26.28,86,0,2.42
301,Mount Isa,AU,2020-12-31 18:40:47,-20.73,139.5,80.6,74,40,8.05
302,Luwuk,ID,2020-12-31 18:42:00,-0.95,122.79,78.26,72,97,2.55
